name,category,address,phone,website,rating,review_count,place_id,lat,lng
Foel Farm Park | Parc Fferm Foel,activities,"Brynsiencyn, Llanfairpwllgwyngyll LL61 6TQ, UK",01248 430646,http://www.foelfarm.co.uk/,4.7,1106,ChIJg4I4DmyvZUgRovwwK3mE-K0,53.158399,-4.283064
Pili Palas Nature World,activities,"Ffordd Penmynydd, Menai Bridge LL59 5RP, UK",01248 712474,http://www.pilipalas.co.uk/,4.4,2466,ChIJWQTuRyGqZUgRuRulIZ4Hf2E,53.235083,-4.186548
Seawake,activities,"40 High St, Menai Bridge LL59 5EF, UK",01248 716335,http://www.seawake.co.uk/,4.8,88,ChIJMa0gcfmpZUgRM78CeYFo69U,53.227198,-4.162293
Hootons Homegrown Farm Shop,shops,"Pringles, Llanfairpwllgwyngyll LL61 5UJ, UK",01248 430322,https://www.hootonshomegrown.co.uk/farm-shops/,4.8,10,ChIJu_kBo-epZUgRwGQmz0VIjKs,53.221019,-4.210445
Penmon Point,activities,"8RP, Unnamed Road, Beaumaris LL58 8RP, UK",,https://www.thebeachguide.co.uk/north-wales/anglesey/penmon-point-beach.htm,4.7,3291,ChIJDUSaPBACZUgRbUoQfH2EJhY,53.311235,-4.041524
Oriel Cemaes Gallery,shops,"16 High St, Cemaes Bay LL67 0HH, UK",01407 711300,,4.8,19,ChIJobhZxmFOZEgRcceIKf5JX_g,53.412243,-4.451592
Starida Puffin Island Cruises and Sea Fishing Trips,activities,"Starida Booking Kiosks, Beaumaris LL58 8BS, UK",01248 810379,https://starida.co.uk/,4.6,427,ChIJDTI8QBoBZUgRnHIslj8fK9w,53.262752,-4.091229
Y Morfa,eat-and-drink,"Ffordd Maelog, Rhosneigr LL64 5QE, UK",,http://www.ymorfa.co.uk/,4.4,312,ChIJIdBPlS-0ZUgR35NdTShSKEI,53.228117,-4.519635
Llyn Parc Mawr Community Woodland,activities,"Niwbwrch, Llanfairpwllgwyngyll LL61 6SU, UK",,https://www.llynparcmawr.org/,4.7,185,ChIJG8WtEzKwZUgRowPnRYrbP9k,53.17601,-4.37478
National Trust - Plas Newydd House and Gardens,activities,"Llanfairpwllgwyngyll LL61 6DQ, UK",01248 714795,https://www.nationaltrust.org.uk/plas-newydd-house-and-garden,4.6,3437,ChIJ5RBCTnipZUgRjMsZLWoimRI,53.20259,-4.216033
Hootons Homegrown Farmer Hootons Tatws Poeth Jacket Potatoes,shops,"Gwydryn Hir, Brynsiencyn, Llanfairpwllgwyngyll LL61 6HQ, UK",01248 430644,http://www.hootonshomegrown.co.uk/,4.4,608,ChIJq9_D2SqpZUgRBo6cTU3oiFo,53.184762,-4.259751
Sosban,eat-and-drink,"Trinity House, 1 High St, Menai Bridge LL59 5EE, UK",01248 208131,http://www.sosbanandtheoldbutchers.com/,4.6,88,ChIJCx3IgPmpZUgR7sfjsrRDJJY,53.226088,-4.162991
Oyster Catcher,eat-and-drink,"Maelog Lake Hotel, Rhosneigr LL64 5JP, UK",01407 812829,https://www.oystercatcheranglesey.co.uk/,4.4,3447,ChIJU7iQSiG0ZUgRTgWut_jGXCs,53.223027,-4.510671
The Tavern on The Bay,eat-and-drink,"Red Wharf Bay, Anglesey LL75 8RJ, UK",01248 852751,http://www.thetavernonthebay.co.uk/,4.4,1878,ChIJvz1WidCqZUgRFeFZhMEe5vo,53.313995,-4.207641
